X,Y,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,ObjectId
3286785.88931496,-276147.439641492,Rwanda,South,Kigeme Health Centre,Health Centre,Public,-2.4799,29.5257,GPS,1
3385481.74985226,-143692.220388963,Rwanda,East,Bugaragara Health Centre,Health Centre,Public,-1.2907,30.4122999999999,GPS,2
3336556.83364862,-224310.470995088,Rwanda,South,Kigese Health Centre,Health Centre,Public,-2.0146,29.9727999999999,GPS,3
3377188.44778817,-192979.510509754,Rwanda,East,Bugarura Health Centre,Health Centre,Public,-1.7333,30.3378,GPS,4
3316508.19335676,-251847.843672772,Rwanda,South,Kigoma Health Centre,Health Centre,Public,-2.2618,29.7927,GPS,5
3328964.84437652,-244138.710806976,Rwanda,South,Kinazi Health Centre,Health Centre,Public,-2.1926,29.9045999999999,GPS,6
3403014.56965221,-194238.000340312,Rwanda,East,Buhabwa Health Centre,Health Centre,Public,-1.7446,30.5698,Geonames,7
3427137.50330712,-257084.024438672,Rwanda,East,Bukora Health Centre,Health Centre,Public,-2.3088,30.7865,GPS,8
3300455.92278436,-275356.332474012,Rwanda,South,Kinyamakara Health Centre,Health Centre,Public,-2.4728,29.6484999999999,GPS,9
3301903.07616468,-268626.520337936,Rwanda,South,Kirambi Health Centre,Health Centre,Public,-2.4124,29.6615,GPS,10
3372435.1055313,-155306.034472671,Rwanda,East,Cyabayaga Health Centre,Health Centre,Public,-1.395,30.2951,GPS,11
3328441.64276979,-291825.623904005,Rwanda,South,Kirarambogo Health Centre,Health Centre,Public,-2.6206,29.8998999999999,GPS,12
3410573.16307707,-224956.524517004,Rwanda,East,Cyarubare Health Centre,Health Centre,Public,-2.0204,30.6376999999999,GPS,13
3275854.31531905,-280738.173870767,Rwanda,South,Kitabi Health Centre,Health Centre,Public,-2.5211,29.4274999999999,GPS,14
3353009.85438788,-160383.757925782,Rwanda,East,Cyondo Health Centre,Health Centre,Public,-1.4406,30.1206,GPS,15
3279449.93487168,-291301.875540489,Rwanda,South,Kivu Health Centre,Health Centre,Public,-2.6159,29.4598,GPS,16
3371422.09816508,-207079.492149656,Rwanda,East,Fumbwe Health Post,Health Post,Public,-1.8599,30.286,Geonames,17
3317810.63139904,-227997.462708292,Rwanda,South,Kivumu (muhanga) Health Centre,Health Centre,Public,-2.0477,29.8044,GPS,18
3395723.14300526,-259891.579688375,Rwanda,East,Gahara Health Centre,Health Centre,Public,-2.334,30.5043,GPS,19
3319391.36816831,-241843.864895883,Rwanda,South,Kizibere Health Centre,Health Centre,Public,-2.172,29.8186,GPS,20
3375440.73178271,-219420.588296648,Rwanda,East,Gahengeri Health Centre,Health Centre,Public,-1.9707,30.3220999999999,GPS,21
3298964.24160774,-280938.743225822,Rwanda,South,Maraba (huye) Health Centre,Health Centre,Public,-2.5229,29.6351,GPS,22
3393374.30174952,-204941.042928295,Rwanda,East,Gahini District Hospital,District Hospital,Public,-1.8407,30.4832,GPS,23
3300133.09626107,-304841.968600735,Rwanda,South,Maraba (nyaruguru) Health Centre,Health Centre,Public,-2.7374,29.6456,GPS,24
3393374.30174952,-204941.042928295,Rwanda,East,Gahini Health Centre,Health Centre,Public,-1.8407,30.4832,GPS,25
3310808.63542813,-227195.452029948,Rwanda,South,Mata Health Centre,Health Centre,Public,-2.0405,29.7414999999999,Geonames,26
3385938.15976452,-200586.251136952,Rwanda,East,Gakenke Health Centre,Health Centre,Public,-1.8016,30.4163999999999,GPS,27
3308459.79417241,-289251.475266483,Rwanda,South,Matyazo Health Centre,Health Centre,Public,-2.5975,29.7204,GPS,28
3342412.23886436,-243325.485113868,Rwanda,East,Gakurazo Health Centre,Health Centre,Public,-2.1853,30.0254,GPS,29
3311298.44118763,-284069.88983633,Rwanda,South,Mbazi Health Centre,Health Centre,Public,-2.551,29.7458999999999,GPS,30
3372657.74451289,-201443.836949713,Rwanda,East,Gasange Health Centre,Health Centre,Public,-1.8093,30.2971,GPS,31
3281776.51222925,-278052.799706512,Rwanda,South,Mbuga Health Centre,Health Centre,Public,-2.497,29.4806999999999,GPS,32
3400888.36737805,-258086.716998691,Rwanda,East,Gashongora Health Centre,Health Centre,Public,-2.3178,30.5506999999999,GPS,33
3322653.02924854,-237298.825265855,Rwanda,South,Mbuye Health Centre,Health Centre,Public,-2.1312,29.8478999999999,GPS,34
3366857.99904256,-245575.790574669,Rwanda,East,Gashora Health Centre,Health Centre,Public,-2.2055,30.245,GPS,35
